ID,Slice,Module,Method,Dir,Portal usage,SAP fields consumed,Proposed ECC object (RFC/BAPI),Portal assumption to challenge,Risk,[SD] Verdict,[SD] Actual object / field gaps,[SD] Config prerequisites,[SD] Owner,[SD] Effort (days)
1,0-Connectivity,platform,health(),R,Stale-data banner and ops health check; drives the per-tenant circuit breaker,none,RFC_PING or any cheap read,A cheap probe exists that does not need a business authorisation,Low,,,,,
2,1-Reads,customer,getCustomer(kunnr),R,Customer profile; login bootstrap; every screen header,KNA1-KUNNR NAME1 NAME2 KTOKD STRAS ORT01 REGIO PSTLZ LAND1 ANSPK TELF1 STCD1 STCD2 STCD3 STCD4 STCD5; ADR6-SMTP_ADDR; J_1IMOCUST-J_1IGSTIN_REGTP; KNVV-VKORG VTWEG ZTERM,BAPI_CUSTOMER_GETDETAIL2,GSTIN is in KNA1-STCD3 and PAN in STCD3/STCD4 per Indian localisation; email is maintained in ADR6 not a Z field,Med,,,,,
3,1-Reads,customer,getShipToAddresses(kunnr),R,Ship-to picker on order and inquiry creation,KNVP partner function SH -> KNA1 address of each ship-to,BAPI_CUSTOMER_GETDETAIL2 partner segment or Z read over KNVP,Ship-tos are modelled as partner function SH on the sold-to rather than as separate accounts the buyer picks by number,Med,,,,,
4,1-Reads,catalogue,getMaterials(query),R,Product catalogue listing with paging and material-group filter,MARA-MATNR MATKL MEINS; MAKT-MAKTX; MVKE-MINBM; MARC-WERKS,BAPI_MATERIAL_GETLIST + BAPI_MATERIAL_GET_DETAIL,Server-side paging and filtering are possible; portal must not pull the full material master,High,,,,,
5,1-Reads,catalogue,getMaterial(material),R,Product detail page,MARA-MATNR MATKL MEINS; MAKT-MAKTX; MVKE-MINBM,BAPI_MATERIAL_GET_DETAIL,Minimum order quantity is MVKE-MINBM and is maintained,Low,,,,,
6,1-Reads,catalogue,getStock(material plant),R,Stock badge on product cards; low-stock rule; always rendered as live,MARD-LABST; MARC-WERKS WEBAZ,BAPI_MATERIAL_AVAILABILITY,Portal may show unrestricted stock to customers at all; whether ATP check or MARD balance is the right number,High,,,,,
7,1-Reads,catalogue,getCustomerPrice(kunnr material qty),R,Per-customer price on each card; lazily loaded one request per card; cart reprice on every read,KONP-KBETR condition PR00; KONH-KNUMH DATAB DATBI,Pricing simulation via SD_SALESDOCUMENT_CREATE in simulate mode or RV_PRICE_PRINT / BAPI_SALESORDER_SIMULATE,Condition-record read (VK13 style) returns the same price the order would get; if not the portal must switch to full pricing simulation. Volume: one call per card is acceptable,High,,,,,
8,1-Reads,order,getOrders(kunnr),R,Customer order list,VBAK-VBELN ERDAT NETWR; VBUK-GBSTK CMGST,BAPI_SALESORDER_GETLIST,Selection by sold-to KUNNR alone is supported and performant,Med,,,,,
9,1-Reads,order,getOrderStatus(vbeln),R,Order detail and the O2C timeline,VBAK-VBELN ERDAT NETWR; VBUK-GBSTK CMGST; VBAP-MATNR KWMENG VRKME NETPR WERKS ABGRU; VBEP-BMENG EDATU,BAPI_SALESORDER_GETSTATUS + BAPI_SALESORDER_GETDETAILBOS,Read by VBELN alone with no KUNNR filter - the portal enforces ownership itself by comparing KUNNR and answering 404,Med,,,,,
10,1-Reads,invoice,getInvoices(kunnr),R,Invoice list; excludes credit/debit notes by FKART,VBRK-VBELN FKDAT FKART NETWR; VBRP-VGBEL,BAPI_BILLINGDOC_GETLIST,FKART values are F2 invoice / G2 credit note / L2 debit note in this tenant. Confirm actual configured billing types,Med,,,,,
11,1-Reads,invoice,getInvoice(vbeln),R,Invoice detail with GST breakdown,VBRK-VBELN FKDAT FKART; VBRP-VGBEL NETWR MGAGR; KONV-KBETR for JOCG JOSG JOIG,BAPI_BILLINGDOC_GETDETAIL,GST condition types are JOCG/JOSG/JOIG. Portal never computes tax - it reads which pair SAP populated to decide intra vs inter-state,High,,,,,
12,1-Reads,ar,getOpenItems(kunnr),R,Statement and aging; the only source of what a customer owes,BSID-BELNR DMBTR KUNNR; BKPF-BLART BUDAT; BSEG-AUGBL,BAPI_AR_ACC_GETOPENITEMS,Open items are read by customer and company code; due date is derivable; BLART values RV/DZ/G2 cover what the statement filters on,Med,,,,,
13,2-Sales,inquiry,createInquiry(input),W,Customer raises an inquiry (AUART=IN),VBAK-AUART VDATU ANGDT; VBAP-MATNR KWMENG VRKME; STXH-TDLINE header text,BAPI_INQUIRY_CREATEFROMDATA2,Inquiries are used at all in this landscape - many SD setups skip IN and start at quotation. If unused the portal drops the module,High,,,,,
14,2-Sales,inquiry,getInquiries(kunnr),R,Customer inquiry list,VBAK-VBELN ERDAT; VBUK-GBSTK,BAPI_INQUIRY_GETLIST or SD_SALESDOCUMENT_GETLIST,Inquiry list selectable by sold-to,Med,,,,,
15,2-Sales,inquiry,getInquiry(vbeln),R,Inquiry detail,VBAK-VBELN ERDAT VDATU ANGDT; VBAP lines; VBUK-GBSTK,BAPI_INQUIRY_GETDETAIL,Read by VBELN alone; portal enforces ownership,Low,,,,,
16,2-Sales,inquiry,getInquiryQueue(),R,Back-office workbench - tenant-wide inquiries no quotation answers yet,VBAK-VBELN ERDAT KUNNR; VBUK-GBSTK,Z wrapper over VBAK/VBUK selection,An open inquiry is identifiable as one with no referencing quotation (VBAK-VGBEL back-link),Med,,,,,
17,2-Sales,inquiry,createQuotation(input),W,Sales desk answers an inquiry (AUART=AG),VBAK-AUART BNDDT VGBEL; VBAP lines,BAPI_QUOTATION_CREATEFROMDATA2,Copy control from IN to AG exists; BNDDT validity is maintained,Med,,,,,
18,2-Sales,inquiry,getQuotations(kunnr),R,Customer quotation list,VBAK-VBELN ERDAT BNDDT NETWR; VBUK-GBSTK,BAPI_QUOTATION_GETLIST,Selectable by sold-to,Low,,,,,
19,2-Sales,inquiry,getQuotation(vbeln),R,Quotation detail; validity derived from BNDDT on every read,VBAK-VBELN ERDAT BNDDT VGBEL NETWR; VBAP-MWSK1; KONV-KBETR JOCG JOSG JOIG,BAPI_QUOTATION_GETDETAILBOS,A lapsed quotation stays GBSTK=A forever so the portal derives expiry from BNDDT rather than reading a status. Confirm no Expired status exists,High,,,,,
20,2-Sales,inquiry,requestQuotationRevision(vbeln comment),W,Customer asks for rework - written as sales text on the document,STXH/STXL-TDLINE on VBAK,SAVE_TEXT / CREATE_TEXT on the sales document,A customer comment can be appended as document text rather than stored portal-side; text ID and object to use,Med,,,,,
21,2-Sales,order,convertQuoteToOrder(input),W,Accept a quotation - VA01 with reference,VBAK-VGBEL VDATU; VBKD-BSTNK; VBPA-KUNNR partner SH,BAPI_SALESORDER_CREATEFROMDAT2 with reference doc,Copy control AG to OR is configured; partial acceptance is or is not allowed,High,,,,,
22,2-Sales,order,simulateOrder(input),W-sim,ATP and credit preview before the customer commits,VBAP-KWMENG NETPR; VBEP-BMENG EDATU; credit result,BAPI_SALESORDER_SIMULATE,Simulate returns both confirmed schedule lines and the credit outcome without creating a document or a number-range gap,High,,,,,
23,2-Sales,order,createSalesOrder(input),W,Place an order,VBAK-AUART VDATU LPRIO; VBKD-BSTNK ZTERM INCO1; VBAP-MATNR KWMENG VRKME WERKS; VBPA-KUNNR SH,BAPI_SALESORDER_CREATEFROMDAT2 + BAPI_TRANSACTION_COMMIT,IDEMPOTENCY: VBKD-BSTNK is the portal idempotency key - a repeat call with the same BSTNK must not create a second order. This is the single most important thing to agree,High,,,,,
24,2-Sales,order,cancelSalesOrder(vbeln reason),W,Customer withdraws a fully-open order,VBAP-ABGRU on every item,BAPI_SALESORDER_CHANGE,Rejection reason codes available to the portal; blocking cancellation once a delivery exists,Med,,,,,
25,2-Sales,customer,createCustomer(customer),W,Onboarding approval creates the SAP customer master,KNA1 full address+tax set; KNVV-VKORG VTWEG ZTERM,BAPI_CUSTOMER_CREATEFROMDATA1,Account group KTOKD for portal customers; internal vs external number range; which sales area is assigned at approval,High,,,,,
26,2-Sales,customer,updateCustomer(kunnr patch),W,Back-office edits a bounded subset - PAN and GSTIN excluded by design,KNA1-NAME2 STRAS ORT01 REGIO PSTLZ LAND1 ANSPK TELF1; ADR6-SMTP_ADDR,BAPI_CUSTOMER_CHANGEFROMDATA1,A partial patch is possible without read-modify-write of the whole master (avoids clobbering a concurrent XD02 change),Med,,,,,
27,3-Logistics,delivery,getDeliveries(kunnr),R,Customer shipment list,LIKP-VBELN VGBEL KUNAG WADAT WADAT_IST TDLNR TRAID KOQUK; VBUK-WBSTK,BAPI_OUTB_DELIVERY_GETLIST,Selectable by KUNAG; LIKP-KUNAG is populated and is the ownership boundary,Med,,,,,
28,3-Logistics,delivery,getDeliveriesForOrder(vbeln),R,Deliveries under one order for the O2C timeline,LIKP-VGBEL,BAPI_OUTB_DELIVERY_GETLIST by reference,LIKP-VGBEL reliably carries the sales order,Low,,,,,
29,3-Logistics,delivery,getDelivery(deliveryVbeln),R,Delivery detail and the tracking stepper,LIKP header as above; LIPS-LFIMG lines; VBUK-WBSTK; J_1IEXCHDR-J_1IEWB_NO,BAPI_OUTB_DELIVERY_GETDETAIL,E-way bill number is retrievable from the delivery; picked/packed states are distinguishable for the stepper,High,,,,,
